title,content,source,auto_summary
李 “가장 어려운 의제로 생각했던 의료대란 해답 찾아볼 것”,"크게보기[서울=뉴시스]이재명 대통령이 3일 서울 용산 대통령실 청사에서 열린 제2차 수석보좌관회의에서 발언하고 있다. 2025.07.03.이재명 대통령이 3일 대통령 주재 수석·보좌관 회의를 열고 “제가 가장 어려운 의제로 생각됐던 의료대란 문제에 대해서도 가능하면 해답이 있을 지 찾아볼 것”이라고 밝혔다.그는 이날 “특정 단체의 이해관계가 아니라 대한민국 국민의 건강권, 의료 체계가 어떤 것이 바람직한 지 관점에서 접근해달라”며 이같이 말했다. 이어 “관련 의사단체들, 관련 의료단체와의 대화도 치밀하고 섬세하게 충분하게 해주길 부탁한다”고 당부했다.해양수산부 이전 문제와 관련해서는 “지금 해수부 이전에 대해서도 여기저기서 말이 많은데 국토 균형 발전은 중요한 과제”라며 “중앙정부의 행정 기관들 중에서도 극히 일부를 더 어려운, 꼭 필요한 지역인 부산으로 옮기는 타당성에 대해 많은 국민이 공감할 것으로 생각한다. 최대한 신속하게 추진해달라”고 지시했다.이 밖에 해운 대기업 HMM 이전 문제, 동남권 투자은행 설립 문제 등에 대해서도 속도를 내서 진행해달라고 요청했다.한편 이날 이 대통령은 취임 30일을 맞아 “정부 출범 한 달 됐는데 고생 많았다”며 “공무원이 힘들면 국민은 편하고 공무원이 편하면 국민이 불편하다. 공직자는 ‘나의 1시간이 5200만 시간’이라 생각하고 업무에 임해주길 부탁한다”고 했다.",동아일보,크게보기[서울=뉴시스]이재명 대통령이 3일 서울 용산 대통령실 청사에서 열린 제2차 수석보좌관회의에서 발언하고 있다. 2025.
SPC 시화공장 재가동 시작…외식·편의점·버거업계 순차적 재공급,"아웃백, 부시맨 브레드 제공 재개…편의점 업계도 ‘크보빵’ 제외 판매 중공급 비상체계 구축한 버거 업체…일부만 “지난주부터 정상 납품”서울 시내의 한 햄버거 프랜차이즈에서 시민들이 키오스크를 이용해 주문하고 있다. /뉴스1작업 중지 명령이 내려졌던 SPC삼립(005610) 시화공장의 가동이 재가동하면서 외식업체·편의점·버거 업체까지 점진적으로 빵 공급이 재개되고 있다.3일 다이닝브랜즈그룹에 따르면 자사 패밀리레스토랑 브랜드 아웃백스테이크하우스는 SPC삼립 시화공장의 인명사고 후 공급을 중단한 지 5주만에 ‘부시맨 브레드’ 제공을 재개했다.사고 이후 공장 가동이 중단되면서 아웃백은 임시로 ‘브라운 브레드’를 제공하고, 기존 운영하던 빵 포장 서비스도 중단했다.편의점 측에서도 생산 중단을 선언한 ‘크보빵’과 매출이 저조한 제품의 단산을 제외하면 빵 공급이 재개된 상황이다.BGF리테일이 운영하는 CU는 SPC삼립 빵 제품 30종의 판매를 다시 시작했고, GS25·세븐일레븐 측 역시 사고 관련 제품을 제외하고는 판매 재개를 완료했다.다만 버거번을 공급받는 업체들은 공급 중단으로 비상 공급 체계를 구축한 만큼 점진적으로 정상화에 들어간다. SPC삼립 측에 따르면 이미 시화공장 햄버거 번 라인 정상 가동 중이며, 공급에도 차질 없는 것으로 전해졌다.롯데리아 운영사 롯데GRS 측은 “공급을 재개하는 라인인 문제가 되지 않은 라인으로 알고 있다”며 “이미 (부족한 공급량은) 롯데웰푸드 쪽에 증산을 요구해 놓았고, 9월까지 세팅이 맞춰져 있기 때문에 SPC삼립이 당장 재가동해도 아직은 물건을 받을 필요는 없다”고 전했다.버거킹 측에서도 “SPC시화공장 말고 다른 공장 물량을 늘려서 빵 공급에는 큰 차질은 없다”며 “생산을 재개한다고 해도 생산 캐파(CAPA)가 아직은 안 될 것 같다. 안정되기를 바라면서 공급 상황을 매일 체크 하는 상황”이라고 설명했다.노브랜드버거를 운영하는 신세계푸드 측에서는 “지난 주말부터 시화공장에서 정상 납품이 진행되고 있다”고 전했다. 맘스터치 측에서도 공급에 차질이 없다는 입장이다.(서울=뉴스1)",동아일보,"아웃백, 부시맨 브레드 제공 재개…편의점 업계도 ‘크보빵’ 제외 판매 중공급 비상체계 구축한 버거 업체…일부만 “지난주부터 정상 납품”서울 시내의 한 햄버거 프랜차이즈에서 시민들이 키오스크를 이용해 주문하고 있다. /뉴스1작업 중지 명령이 내려졌던 SPC삼립(005610) 시화공장의 가동이 재가동하면서 외식업체·편의점·버거 업체까지 점진적으로 빵 공급이 재개되고 있다."
서울시 “오스트리아서 공공임대주택 ‘소셜믹스’ 배워”,"오스트리아 빈 공공임대주택 시찰“서울형 혼합주택 지속 추진”“여기는 공공임대주택이라고 해서 부정적인 인식은 전혀 없어요.”1일(현지 시간) 오스트리아 빈의 한 공공임대주택에서 만난 현지 주민은 현지 주거 문화에 대해 이렇게 설명했다. 이날 오세훈 서울시장과 서울시 관계자들은 빈 현지의 공공임대주택 단지를 둘러보며 서울시 공공주택 정책에 적용할 수 있는 모델을 모색했다. 특히 소득과 계층에 관계없이 다양한 사람들이 함께 거주하는 ‘소셜믹스(Social Mix)’ 형태의 주거 환경에 주목했다. 전체 시민의 절반 이상이 공공임대주택에 거주하는 빈을 벤치마킹해, 서울에서도 임대주택에 대한 부정적 인식을 개선하고 안정적 공급 기반을 강화하려는 취지다.현장을 둘러본 오 시장은 “소득이나 연령에 상관없이 함께 어우러져 살 수 있는 혼합형 주택을 서울에서도 지속적으로 시도하겠다”며 소셜믹스 정책 기조를 이어가겠다고 밝혔다. 또 “서울은 유휴 공간이 부족한 만큼, 오스트리아처럼 공용 주방과 세탁실 등 전용 공간을 줄이고 공유시설을 강화하는 방식을 도입할 것”이라고 덧붙였다.서울시는 이미 2022년 ‘고품질 임대주택 공급 방안’을 발표하며 소셜믹스 도입과 노후 임대단지 재정비를 본격화하고 있다. 노원구 하계5단지는 국내 1호 영구임대주택 재건축 사례로, 사회간접자본(SOC)과 연계한 고품질 임대주택 선도 모델로 개발 중이다.청년·신혼부부·어르신·1인 가구를 위한 ‘안심주택’ 공급도 확대하고 있다. 서울시는 2016년부터 지금까지 청년안심주택 2만5000호를 모집해 공급한 바 있다. 서울시 관계자는 “교통이 편리한 우수한 입지에 돌봄, 의료, 커뮤니티 기능을 갖춘 고품질 임대주택이 앞으로 공공주택 공급의 핵심이 될 것”이라며 “오스트리아 빈 사례를 참고해 양적 확대를 넘어 질적 향상에도 주력할 계획”이라고 밝혔다.",동아일보,오스트리아 빈 공공임대주택 시찰“서울형 혼합주택 지속 추진”“여기는 공공임대주택이라고 해서 부정적인 인식은 전혀 없어요.”1일(현지 시간) 오스트리아 빈의 한 공공임대주택에서 만난 현지 주민은 현지 주거 문화에 대해 이렇게 설명했다.
"“보증금 못 준다” 집주인 말에 흉기 협박 60대, 징역형 집유","ⓒ뉴시스계약기간이 남아 보증금을 돌려줄 수 없다는 빌라 주인에게 흉기를 들고 협박한 60대가 징역형 집행유예를 선고받았다.3일 지역 법조계에 따르면 대전지법 형사10단독 장진영 판사는 특수협박 혐의로 기소된 A(63)씨에게 징역 4개월, 집행유예 1년을 선고했다.또 사회봉사 40시간도 함께 명령했다.A씨는 지난해 11월 27일 오전 11시 32분께 대전 서구의 한 빌라에서 술을 마시던 중 흉기를 챙겨 1층에 있던 건물주 B(62)씨 가게에 찾아가 욕설하며 협박한 혐의다.당시 B씨는 점포 내 폐쇄회로(CC)TV로 A씨의 모습을 보고 있었으며 직접 대면하지는 않았던 것으로 파악됐다.앞서 A씨는 같은 달 4일 B씨에게 전세 계약을 끝내고 보증금을 돌려달라고 요청했지만 B씨가 계약기간이 남아있어 보증금을 돌려줄 수 없다는 말에 불만을 품고 범행을 저지른 것으로 전해졌다.재판부는 “흉기를 들고 피해자를 협박해 피해자가 느꼈을 공포를 감안하면 죄책이 가볍지 않다”며 “다만 범행을 인정하고 반성하며 피해자를 대면한 상태에서 위협을 가하지는 않았던 점과 전세금을 받아 이사 잔금을 치러야 할 상황에서 전세금 반환에 난색을 표하자 범행을 저지른 점 등을 고려하면 참작할 사정이 있다고 보인다”고 판시했다.[대전=뉴시스]",동아일보,"ⓒ뉴시스계약기간이 남아 보증금을 돌려줄 수 없다는 빌라 주인에게 흉기를 들고 협박한 60대가 징역형 집행유예를 선고받았다.3일 지역 법조계에 따르면 대전지법 형사10단독 장진영 판사는 특수협박 혐의로 기소된 A(63)씨에게 징역 4개월, 집행유예 1년을 선고했다."
美국방부 “해외 무기지원 전면 재검토…본토 방어가 우선”,"비축량 감소 우려에 “모든 곳에 무기 제공못해”우크라엔 이미 패트리엇 미사일 지원 중단크게보기도널드 트럼프 미국 대통령. AP뉴시스우크라이나에 패트리엇 방공 미사일 등의 무기 지원을 돌연 중단한 도널드 트럼프 미국 행정부가 “해외 무기 지원 상황 전반을 전면 재검토하고 있다”고 밝혔다.션 파넬 국방부 대변인은 2일(현지 시간) 버지니아주 알링턴의 국방부 청사에서 열린 브리핑에서 “어떤 무기를 어디에 보내고 있는지를 분석하는 체계를 마련했다”며 전 세계 각지에 가는 무기 지원 현황을 검토하고 있다고 밝혔다. 이어 “전 세계 모든 곳에 무기를 제공할 수는 없다”며 “대통령과 국방장관이 결정을 내리는 데 도움이 될 것”이라고 했다.검토 대상에 오른 국가에 대해 파넬 대변인은 “우크라이나뿐 아니라 미국이 무기를 보내는 모든 국가를 대상으로 한다”고 했다. 전날 미 백악관은 우크라이나에 일부 무기의 인도를 중단했다고 밝혔다. 미국이 최근 이란과 충돌로 이란과 카타르 등에도 대거 방공 미사일을 지원한 가운데 우크라이나 이외의 국가에 대한 무기 전달 중단 여부는 알려지지 않았다.파넬 대변인은 이번 조치가 무기 비축량 감소 우려에 대한 대응책이라고 강조했다. 그는 “조 바이든 행정부가 우리가 얼마나 가지고 있는지 제대로 생각도 안 하고 그냥 우크라이나에 무기를 넘겨줬다”고 비난했다. 그러면서 “트럼프 대통령은 ‘아메리카 퍼스트’와 본토 방어를 우선시 할 것이고, 이를 인도·태평양으로의 전략적 전환과 연결 지을 수 있다”고 밝혔다.한편 주한미군 감축이나 역할 변경과 관련한 계획이 있냐는 질문에는 “우리는 군사 태세 검토에 대해 이 단상에서 보통 언급하지 않는다”며 “한국과 철통같은 동맹을 유지하고 있으며 동맹에 충실할 것”이라고 했다.",동아일보,비축량 감소 우려에 “모든 곳에 무기 제공못해”우크라엔 이미 패트리엇 미사일 지원 중단크게보기도널드 트럼프 미국 대통령. AP뉴시스우크라이나에 패트리엇 방공 미사일 등의 무기 지원을 돌연 중단한 도널드 트럼프 미국 행정부가 “해외 무기 지원 상황 전반을 전면 재검토하고 있다”고 밝혔다.
"주진우, 李대통령 ‘대출 규제 맛보기’ 발언에 “실수요자는 고통”","<img align=""left"" hspace=""10"" src=""https://dimg.donga.com/i/150/150/90/wps/NEWS/IMAGE/2025/07/03/131933198.1.jpg"" vspace=""10"" />국민의힘 주진우 의원은 3일 이재명 대통령이 취임 후 첫 기자회견에서 “이번 대출 규제는 맛보기 정도에 불과하다”고 발언한 데 대해 “실수요자 고통을 알기는 하느냐”라고 비판했다.주 의원은 이날 페이스북에 “이 대통령은 오늘 6·27 대출 규제는 ‘맛보기’라고 얘기했다”며 “이 대통령의 ‘매운 맛보기 정책’에 직격탄을 맞은 것은 생애 첫 내 집을 마련하려는 청년, 신혼부부, 서민들이다”라고 적었다. 그러면서 “주택담보대출 6억 원 대출 제한에 걸려 계약했던 집도 포기하는 경우가 속출하고, 무주택자도 LTV가 80%에서 70%로 축소되며 기회를 날렸다”며 “강남 집값은 이미 많이 올랐고, 현금 부자가 많아 이번 대책으로 큰 효과를 거두기 어렵다는 것이 중론이다”라고 강조했다.주 의원은 “서울 강북 등 다른 지역 실수요자들이 훨씬 큰 타격을 받았다”며 “주택 공급이 제한적인데, 급작스럽게 수요를 억제하면 부동산 거래량도 줄 수밖에 없다”고 지적했다. 이어 “주택 매매가 줄면, 전세나 월",동아일보,"<img align=""left"" hspace=""10"" src=""https://dimg.donga."
"‘로잔의 별’ 17세 발레리노 박윤재, 세계 러브콜 속 미국행 택한 이유는…","<img align=""left"" hspace=""10"" src=""https://dimg.donga.com/i/150/150/90/wps/NEWS/IMAGE/2025/07/03/131931991.1.jpg"" vspace=""10"" />올해 2월. 세계 최고로 꼽히는 프랑스 파리오페라발레단의 발레 학교 교장은 17세 한국인 발레리노에게 입학을 권하면서도 이렇게 말했다. “윤재 군이 와도 사실 더 배울 건 없을 겁니다.”185cm의 큰 키에 탄탄한 기본기, 섬세한 감정선까지 갖춰 무용계에선 이미 ‘완성형 인재’라고 평가받는 박윤재 군(17)의 이야기다. ‘전 세계 무용수들의 등용문’으로 불리는 로잔발레콩쿠르에서 한국 남자 무용수 최초로 1위를 차지한 뒤 세계적인 발레 학교에서 러브콜이 쏟아졌다. 3일 경기 성남아트센터에서 만난 박 군은 “영국 로열발레 스쿨 등 많은 곳에서 감사하게도 제안을 주셨다. 그중 가장 행복하게 춤출 수 있는 곳을 골랐다”고 앞으로의 계획을 밝혔다.최종 결정은 ‘미국행’이다. 최근 서울예고에서 나와 9월 아메리칸 발레 시어터(ABT)의 발레 학교인 JKO스쿨에 입학한다. 한국인 발레 스타 서희, 세계적 발레리나 이자벨라 보일스턴 등을 배출한 학교다. “지난해와 올해 ABT 무용수들의 내한 공연",동아일보,"<img align=""left"" hspace=""10"" src=""https://dimg.donga."
김건희 특검 “삼부토건 등 13곳 압수수색 진행…국민 관심사 커“,"<img align=""left"" hspace=""10"" src=""https://dimg.donga.com/i/150/150/90/wps/NEWS/IMAGE/2025/07/03/131933348.2.jpg"" vspace=""10"" />윤석열 전 대통령의 배우자 김건희 여사 관련 의혹을 수사하는 민중기 특별검사팀이 3일 삼부토건 회사 및 피의자 주거 등 13곳에 대한 압수수색을 실시하고 있다.문홍주 특검보는 이날 브리핑을 통해 “특검법 2조 1호에 규정된 주식회사 삼부토건 사건과 관련해 삼부토건, DYD 등 회사 6곳과 관련 피의자 주거지 7곳 등 총 13곳에 대한 압수수색을 실시하고 있다”고 밝혔다.이어 “사건 죄명은 자본시장법상 사기적 부정거래 혐의”라며 “특검법이 정하는 여러 수사 대상 중 처음으로 강제수사에 착수했다”고 했다.특검 관계자는 “(금융당국이 고발한) 피고발인들 위주로 수사가 진행되고 있다”면서도 “인적·물적 대상이 넓어질 것으로 예상한다”고 설명했다.첫 강제수사로 삼부토건 사건 관련 압수수색이 이뤄진 데 대해서는 “가장 먼저 준비된 것, 그 다음에 국민적 관심사가 가장 큰 사건이 주요한 기준”이라고 밝혔다.특검 관계자는 삼부토건이 압수수색 사흘 전 본사 주소지를 서울시 중구에서 종로구로 옮긴 데",동아일보,"<img align=""left"" hspace=""10"" src=""https://dimg.donga."
"‘리빙 레전드’ 클레이턴 커쇼, MLB 20번째 3000탈삼진 클럽 가입","<img align=""left"" hspace=""10"" src=""https://dimg.donga.com/i/150/150/90/wps/NEWS/IMAGE/2025/07/03/131933219.1.jpg"" vspace=""10"" />LA 다저스 왼손 투수 클레이턴 커쇼(37)가 미국프로야구 메이저리그(MLB) 통산 20번째 3000탈삼진의 주인공이 됐다. 커쇼는 3일 미국 캘리포니아주 로스앤젤레스의 다저스타디움에서 열린 시카고 화이트삭스와의 안방 경기에 선발 등판해 6이닝 9피안타 4실점하며 3개의 삼진을 잡아냈다. 전날까지 통산 2997개의 탈삼진을 기록 중이던 커쇼는 6회초 2사후 비니 카프라를 바깥쪽 루킹 삼진으로 잡아내며 이날 세 번째이자 통산 3000탈삼진을 달성했다. 이날의 100번째 공이었다. 커쇼는 이로써 MLB 사상 20번째로 3000탈삼진 클럽에 가입했다. 현역 선수로는 저스틴 벌랜더(샌프란시스코·3468개)와 맥스 셔저(토론토·3412개)에 이어 세 번째다. 왼손 투수로 3000 탈삼진 고지에 오른 건 네 번째다. MLB 통산 최다 탈삼진 기록은 놀런 라이언의 5714개다.2008년부터 다저스에서만 뛰고 있는 커쇼는 통산 올스타 10회, 2014년 내셔널리그 최우수선수(MVP), 사이영상 3",동아일보,"<img align=""left"" hspace=""10"" src=""https://dimg.donga."
‘3%룰’ 포함 상법개정안 본회의 통과…李정부 여야협치 1호 법안,"<img align=""left"" hspace=""10"" src=""https://dimg.donga.com/i/150/150/90/wps/NEWS/IMAGE/2025/07/03/131933229.3.jpg"" vspace=""10"" />‘3% 룰’이 포함된 상법개정안이 3일 국회 본회의를 통과했다. 이재명 정부 출범 뒤 ‘여야 협치’ 1호 법안이다.국회는 이날 오후 본회의를 열고 상법개정안을 상정해 재석 272인 중 찬성 220인, 반대 29인, 기권 23인으로 통과시켰다. 김민석 국무총리 후보자 임명동의안 표결에 불참한 국민의힘 의원들은 상법개정안 표결에 맞춰 본회의장에 돌아왔다.국회 문턱을 넘은 상법개정안은 민주당 주도로 추진됐다. △이사의 충실 의무 대상을 기존 회사에서 ‘회사 및 주주’로 확대 △전자주주총회 도입 △상장회사 사외이사를 독립이사로 변경하는 내용 등을 담았다.사내이사인 감사위원뿐 아니라 사외이사인 감사위원 선출 시에도 최대 주주와 특수 관계인의 합산 지분 의결권을 3%로 제한하는 내용인 ‘3% 룰’도 포함됐다.여야는 전날까지 3% 룰과 집중투표제 등을 두고 대립하다 3% 룰은 일부 보완해서 처리하기로 합의했다. 집중투표제 도입과 감사위원 분리 선출 확대 조항은 이번 개정에서 제외하고 향후 논의를",동아일보,"<img align=""left"" hspace=""10"" src=""https://dimg.donga."
